time,x,y,chuckID,frate,duration,filename,folderdate,foldersession,rat,foldername
664100923,337,219,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664100983,340,222,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664101164,336,219,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664101285,337,217,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664101405,338,219,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664101465,337,214,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664101525,336,216,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664101585,334,211,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664101707,333,213,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664101765,335,211,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664101825,334,213,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664102066,335,211,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664102308,332,213,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664102369,333,211,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664102547,334,213,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664102668,333,211,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664102728,332,213,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664102789,333,211,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664103029,334,213,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664103090,335,211,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664103150,332,213,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664103270,335,211,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664103390,332,213,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664103450,335,211,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664103511,332,213,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664103752,335,211,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664103871,333,213,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664103932,334,211,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664103993,332,213,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664104112,334,211,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664104233,332,212,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664104293,334,211,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664104413,332,213,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664104533,335,211,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664104594,333,213,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664104654,335,211,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664105075,332,213,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664105195,334,211,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664105315,332,212,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664105496,334,211,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664105557,329,211,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664106098,328,213,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664106219,331,212,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
664106459,328,213,1,16.3480189123441,65.4493166666667,TrackData.txt,82720,A,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/082720A
